"EmpNumber","Age","Gender","EducationBackground","MaritalStatus","EmpDepartment","EmpJobRole","BusinessTravelFrequency","DistanceFromHome","EmpEducationLevel","EmpEnvironmentSatisfaction","EmpHourlyRate","EmpJobInvolvement","EmpJobLevel","EmpJobSatisfaction","NumCompaniesWorked","OverTime","EmpLastSalaryHikePercent","EmpRelationshipSatisfaction","TotalWorkExperienceInYears","TrainingTimesLastYear","EmpWorkLifeBalance","ExperienceYearsAtThisCompany","ExperienceYearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition","PerformanceRating"
"E1001041","40","Female","Medical","Single","Development","Developer","Travel_Rarely","2","1","4","86","2","1","4","0","Yes","20","4","5","2","2","4","2","2","3","No","4"
"E1001042","27","Female","Medical","Single","Development","Developer","Travel_Rarely","7","3","4","55","2","2","1","8","No","19","1","9","2","1","7","6","0","7","No","3"
"E1001044","29","Male","Marketing","Divorced","Sales","Sales Representative","Travel_Rarely","10","3","4","83","3","1","2","1","No","14","4","2","2","3","2","2","2","2","No","3"
"E1001047","53","Male","Life Sciences","Single","Development","Developer","Travel_Rarely","6","3","4","86","3","2","4","2","No","17","4","19","4","3","2","2","2","2","No","3"
"E1001049","35","Female","Life Sciences","Divorced","Development","Senior Developer","Non-Travel","2","4","4","61","3","2","1","2","No","11","1","16","2","4","1","0","0","0","No","3"
"E1001050","32","Male","Life Sciences","Married","Development","Developer","Travel_Frequently","24","4","1","80","3","2","4","1","No","15","4","10","2","3","10","8","4","7","No","3"
"E1001053","34","Female","Life Sciences","Divorced","Development","Developer","Travel_Rarely","8","5","2","32","3","2","1","3","No","14","3","7","3","3","0","0","0","0","No","3"
"E1001054","52","Male","Marketing","Married","Sales","Manager","Travel_Rarely","3","4","3","31","2","4","1","1","No","11","1","34","3","4","34","6","1","16","No","4"
"E1001058","33","Male","Other","Single","Development","Developer","Travel_Rarely","1","4","4","63","3","1","4","1","Yes","13","3","10","2","2","10","9","7","8","Yes","3"
"E1001059","25","Female","Medical","Single","Sales","Sales Executive","Travel_Rarely","26","1","3","32","3","2","4","1","No","23","2","6","5","2","6","5","1","4","No","4"
"E1001061","45","Male","Technical Degree","Single","Sales","Sales Representative","Travel_Rarely","2","2","2","46","1","2","3","0","No","13","1","9","3","3","8","7","3","1","No","3"
"E1001062","23","Male","Medical","Single","Development","Developer","Travel_Rarely","10","1","1","79","4","1","3","1","No","18","4","2","3","3","2","2","0","2","No","3"
"E1001063","47","Female","Life Sciences","Single","Sales","Sales Executive","Travel_Frequently","27","2","2","77","4","2","3","4","Yes","12","4","8","2","3","5","4","1","3","Yes","3"
"E1001064","34","Male","Other","Single","Sales","Sales Executive","Travel_Rarely","2","3","4","60","3","2","4","1","No","22","3","6","5","3","6","5","1","4","No","4"
"E1001067","36","Male","Life Sciences","Single","Sales","Sales Executive","Non-Travel","8","4","1","76","2","3","1","1","No","15","2","10","1","3","10","7","0","9","No","3"
"E1001069","52","Male","Medical","Married","Development","Developer","Non-Travel","19","4","4","41","3","1","4","0","No","18","1","5","3","3","4","3","1","2","No","3"
"E1001070","26","Female","Life Sciences","Divorced","Development","Developer","Travel_Frequently","1","2","1","71","1","1","4","3","No","14","1","5","2","3","2","2","2","0","No","3"
"E1001071","29","Female","Medical","Married","Development","Developer","Travel_Rarely","27","3","2","66","3","2","3","4","No","12","1","11","3","2","8","7","1","1","No","3"
"E1001074","26","Male","Technical Degree","Single","Sales","Sales Executive","Travel_Rarely","8","3","4","38","2","2","1","6","No","17","3","6","2","2","4","3","1","2","Yes","3"
"E1001075","34","Female","Life Sciences","Single","Development","Developer","Travel_Rarely","1","4","2","72","4","1","4","2","No","16","3","10","2","3","4","2","1","3","No","3"
"E1001077","54","Female","Medical","Divorced","Development","Developer","Travel_Rarely","19","4","4","95","3","2","1","9","Yes","11","2","9","4","3","5","3","1","4","No","3"
"E1001078","27","Male","Marketing","Married","Sales","Sales Executive","Travel_Frequently","8","1","3","84","3","2","4","0","No","19","2","5","3","3","4","2","1","1","No","3"
"E1001080","37","Female","Life Sciences","Divorced","Development","Developer","Travel_Rarely","10","1","4","82","3","1","1","0","Yes","13","2","6","3","2","5","3","4","3","No","3"
"E1001081","38","Female","Life Sciences","Single","Development","Developer","Travel_Frequently","2","4","1","75","4","2","1","6","Yes","12","4","17","2","3","15","7","4","12","No","3"
"E1001082","34","Female","Medical","Single","Development","Developer","Travel_Rarely","2","4","3","86","2","1","1","1","No","11","3","6","3","3","6","5","1","3","No","3"
"E1001083","35","Female","Life Sciences","Married","Sales","Sales Representative","Travel_Rarely","8","4","1","72","3","1","4","1","No","16","2","3","1","2","3","2","0","2","No","3"
"E1001085","40","Female","Medical","Married","Development","Developer","Travel_Frequently","2","2","3","38","4","2","2","1","No","24","4","8","2","3","8","7","3","7","No","4"
"E1001086","34","Female","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","8","2","3","93","3","2","1","5","No","17","2","6","1","3","3","2","1","2","No","3"
"E1001090","24","Male","Life Sciences","Divorced","Development","Senior Developer","Non-Travel","9","3","3","60","2","1","2","1","No","11","3","1","4","3","1","0","0","0","No","3"
"E1001091","52","Female","Life Sciences","Married","Development","Senior Developer","Travel_Rarely","11","4","4","82","3","2","3","8","No","20","2","9","3","3","5","2","1","4","No","4"
"E1001093","50","Male","Medical","Married","Development","Developer","Travel_Rarely","2","3","3","64","3","4","3","5","No","16","4","30","3","3","4","3","0","3","No","3"
"E1001094","29","Female","Life Sciences","Married","Development","Developer","Travel_Rarely","1","2","2","36","2","1","1","1","Yes","11","4","1","1","3","1","0","0","0","Yes","3"
"E1001095","33","Male","Medical","Married","Development","Developer","Travel_Rarely","7","3","3","49","3","3","3","0","No","11","4","14","3","4","13","9","3","7","No","3"
"E1001097","33","Female","Marketing","Single","Sales","Sales Executive","Travel_Rarely","16","3","1","69","3","2","1","5","No","15","3","6","3","3","3","2","0","2","Yes","3"
"E1001098","47","Female","Other","Married","Development","Developer","Travel_Rarely","2","2","3","33","3","4","4","1","Yes","11","3","26","3","2","26","14","3","0","No","3"
"E1001101","36","Female","Other","Married","Development","Developer","Travel_Rarely","1","3","3","35","3","2","2","0","No","15","1","10","2","3","9","7","0","5","No","3"
"E1001102","29","Male","Life Sciences","Married","Development","Senior Developer","Travel_Rarely","23","2","3","81","4","1","3","1","No","24","3","10","3","3","10","7","0","7","No","4"
"E1001104","35","Female","Life Sciences","Single","Development","Senior Developer","Travel_Rarely","1","4","4","40","4","1","3","3","No","13","3","7","0","3","2","2","2","2","No","3"
"E1001105","42","Female","Life Sciences","Married","Development","Developer","Travel_Rarely","1","2","4","43","2","2","4","9","Yes","13","4","8","4","3","4","3","0","2","No","3"
"E1001106","28","Male","Medical","Single","Development","Developer","Travel_Rarely","2","4","3","46","3","1","3","6","No","17","4","5","3","2","2","2","2","1","Yes","3"
"E1001107","36","Male","Human Resources","Married","Human Resources","Human Resources","Travel_Rarely","13","3","3","36","3","1","2","4","No","13","2","8","2","3","5","2","0","4","No","3"
"E1001110","40","Male","Medical","Single","Development","Developer","Travel_Frequently","16","4","1","51","2","2","3","6","No","14","4","10","6","3","1","0","0","0","No","3"
"E1001111","30","Female","Medical","Single","Development","Developer","Travel_Rarely","2","3","3","52","2","2","4","5","Yes","24","2","12","4","2","0","0","0","0","No","4"
"E1001112","45","Female","Life Sciences","Single","Development","Developer","Travel_Rarely","2","3","2","95","2","1","3","1","No","14","4","1","3","3","1","0","0","0","No","3"
"E1001114","42","Male","Life Sciences","Married","Development","Developer","Travel_Rarely","29","3","2","98","3","2","2","1","No","13","4","10","3","2","9","8","7","8","No","3"
"E1001115","38","Male","Life Sciences","Divorced","Development","Developer","Travel_Frequently","12","3","1","45","2","2","1","2","No","15","3","13","3","2","4","3","1","2","No","3"
"E1001118","49","Female","Marketing","Married","Sales","Sales Executive","Travel_Rarely","11","3","3","43","3","3","4","1","No","18","1","9","3","4","9","8","7","7","Yes","3"
"E1001120","55","Male","Medical","Single","Sales","Sales Executive","Travel_Rarely","2","1","3","37","3","2","4","4","No","16","3","12","3","2","9","7","7","3","Yes","3"
"E1001121","43","Male","Life Sciences","Married","Development","Developer","Travel_Rarely","14","2","2","94","3","4","1","6","No","24","3","22","3","3","4","1","1","0","No","3"
"E1001122","27","Male","Technical Degree","Divorced","Development","Developer","Travel_Rarely","5","1","3","42","2","3","4","1","Yes","16","2","9","3","3","9","8","0","8","No","3"
"E1001123","35","Male","Other","Single","Development","Developer","Travel_Rarely","7","3","3","59","3","3","3","3","No","21","2","17","3","4","8","5","1","6","No","4"
"E1001124","28","Female","Marketing","Married","Sales","Sales Executive","Travel_Rarely","2","4","2","81","3","2","2","1","Yes","20","1","8","2","3","8","7","7","5","No","3"
"E1001126","26","Female","Medical","Married","Development","Developer","Travel_Frequently","5","2","3","88","2","1","3","1","Yes","14","1","8","2","3","8","7","1","7","Yes","3"
"E1001128","27","Male","Medical","Married","Development","Developer","Non-Travel","3","3","4","50","3","1","4","1","No","11","3","0","6","2","0","0","0","0","No","3"
"E1001129","51","Female","Marketing","Married","Sales","Manager","Travel_Rarely","26","4","1","66","3","4","3","2","No","14","3","29","2","2","20","6","4","17","No","3"
"E1001130","44","Male","Medical","Single","Development","Developer","Travel_Rarely","4","3","4","50","3","2","2","9","No","12","4","10","2","2","5","2","2","3","No","3"
"E1001132","25","Male","Medical","Single","Development","Developer","Travel_Rarely","2","1","1","65","4","1","1","7","No","13","3","6","3","2","4","3","0","1","No","3"
"E1001134","35","Female","Medical","Single","Development","Senior Developer","Travel_Rarely","27","1","3","53","2","1","1","1","No","11","4","6","3","2","6","5","1","1","No","3"
"E1001135","36","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","1","2","2","56","3","2","4","1","Yes","14","4","18","1","2","18","14","4","11","No","3"
"E1001140","53","Female","Marketing","Married","Sales","Sales Executive","Travel_Rarely","7","2","1","78","2","3","4","7","Yes","18","4","35","3","3","5","2","0","4","No","3"
"E1001142","45","Male","Marketing","Divorced","Sales","Sales Executive","Travel_Rarely","9","3","4","74","3","3","1","4","Yes","12","3","18","2","3","5","4","0","2","No","3"
"E1001143","32","Female","Medical","Married","Development","Developer","Travel_Rarely","8","2","3","91","4","2","3","5","No","12","3","9","3","2","5","3","1","3","No","3"
"E1001146","37","Male","Marketing","Divorced","Sales","Sales Executive","Travel_Rarely","16","4","4","66","2","2","3","4","No","19","4","9","2","3","1","0","0","0","No","3"
"E1001147","28","Male","Medical","Divorced","Human Resources","Human Resources","Travel_Rarely","8","2","2","63","2","1","4","1","No","13","4","6","6","3","5","1","0","4","No","3"
"E1001150","22","Male","Life Sciences","Married","Development","Senior Developer","Travel_Rarely","1","2","4","33","2","2","4","6","No","22","1","4","2","1","2","2","2","2","No","3"
"E1001152","44","Male","Life Sciences","Married","Development","Developer","Travel_Rarely","8","4","1","62","4","1","4","2","Yes","24","3","10","2","2","3","2","0","2","No","3"
"E1001153","42","Male","Medical","Single","Development","Senior Developer","Travel_Frequently","2","1","2","35","3","1","4","5","Yes","14","4","8","2","3","2","1","2","2","No","3"
"E1001156","36","Male","Life Sciences","Married","Human Resources","Human Resources","Travel_Rarely","8","3","1","77","2","1","1","0","No","21","3","6","3","3","5","4","0","3","No","3"
"E1001157","25","Male","Other","Married","Sales","Sales Executive","Travel_Rarely","3","1","3","98","3","2","1","1","Yes","18","4","5","3","3","5","3","0","3","No","3"
"E1001159","35","Female","Life Sciences","Divorced","Development","Developer","Travel_Frequently","25","4","4","96","3","1","2","1","Yes","19","1","10","3","2","10","2","7","8","Yes","3"
"E1001160","32","Male","Life Sciences","Divorced","Development","Developer","Non-Travel","1","3","4","61","3","1","4","0","No","12","2","4","2","3","3","0","0","2","No","3"
"E1001165","49","Female","Technical Degree","Married","Data Science","Data Scientist","Travel_Rarely","1","3","3","36","3","1","1","2","No","16","2","7","2","3","4","2","0","2","No","3"
"E1001166","24","Male","Life Sciences","Married","Development","Senior Developer","Non-Travel","4","1","1","46","2","1","4","0","No","17","4","6","2","2","5","2","3","4","No","3"
"E1001167","32","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Frequently","5","2","2","48","3","2","2","1","No","14","4","10","3","3","10","8","5","3","No","3"
"E1001171","38","Male","Marketing","Married","Sales","Sales Representative","Travel_Rarely","9","3","2","98","2","1","2","0","No","19","4","3","3","3","2","2","1","2","No","3"
"E1001173","31","Male","Life Sciences","Married","Development","Senior Developer","Travel_Rarely","11","4","4","48","3","1","4","3","Yes","19","2","8","2","3","6","4","0","2","No","3"
"E1001175","53","Male","Marketing","Married","Sales","Sales Executive","Travel_Rarely","8","3","1","73","3","4","4","5","No","14","3","28","3","3","2","0","2","2","No","3"
"E1001178","37","Female","Medical","Married","Sales","Sales Representative","Travel_Frequently","21","2","3","54","3","1","4","5","No","15","2","10","3","3","5","4","0","0","No","3"
"E1001179","53","Female","Life Sciences","Single","Development","Developer","Travel_Rarely","23","4","4","72","3","4","4","6","No","18","3","33","0","3","12","9","3","8","No","3"
"E1001180","43","Female","Life Sciences","Married","Development","Developer","Travel_Frequently","1","3","4","33","3","2","4","4","No","13","2","12","2","2","5","2","2","2","No","3"
"E1001181","47","Female","Marketing","Married","Sales","Sales Executive","Travel_Rarely","2","2","3","35","3","2","4","0","Yes","22","1","8","2","3","7","6","7","7","No","4"
"E1001182","37","Male","Medical","Single","Sales","Sales Executive","Non-Travel","19","2","1","32","3","3","2","1","Yes","13","4","10","2","3","10","0","0","9","No","3"
"E1001183","50","Male","Life Sciences","Divorced","Development","Developer","Non-Travel","2","4","1","98","3","4","1","1","No","11","4","31","3","3","31","6","14","7","No","3"
"E1001187","39","Female","Life Sciences","Married","Human Resources","Human Resources","Travel_Rarely","2","3","4","42","2","2","4","8","No","11","3","13","2","3","5","4","0","4","No","3"
"E1001188","33","Male","Human Resources","Divorced","Human Resources","Human Resources","Travel_Rarely","3","2","4","57","3","1","2","3","Yes","11","3","7","4","4","4","3","0","3","No","3"
"E1001189","32","Male","Life Sciences","Single","Development","Developer","Travel_Rarely","25","4","1","87","3","1","4","1","Yes","24","3","1","2","1","1","0","0","1","Yes","3"
"E1001191","44","Male","Life Sciences","Married","Development","Developer","Travel_Rarely","9","2","2","61","3","1","1","1","Yes","13","4","8","0","3","8","7","7","1","No","3"
"E1001196","58","Male","Life Sciences","Divorced","Development","Developer","Travel_Frequently","2","1","4","57","2","1","4","9","Yes","14","4","3","3","2","1","0","0","0","Yes","3"
"E1001200","20","Female","Medical","Single","Sales","Sales Representative","Travel_Rarely","2","3","3","49","2","1","3","1","No","13","4","2","3","2","2","2","0","2","Yes","3"
"E1001201","21","Female","Other","Single","Data Science","Data Scientist","Travel_Rarely","18","1","4","65","3","1","4","1","No","19","1","1","3","2","1","0","0","0","Yes","3"
"E1001202","36","Male","Life Sciences","Married","Data Science","Data Scientist","Travel_Rarely","14","1","3","68","3","2","4","0","Yes","17","1","17","2","2","16","8","4","11","No","3"
"E1001203","47","Female","Life Sciences","Single","Sales","Sales Representative","Travel_Rarely","2","4","4","65","2","1","4","1","Yes","18","1","3","3","2","3","2","1","2","No","3"
"E1001204","22","Female","Life Sciences","Married","Development","Developer","Travel_Rarely","3","1","2","34","3","2","3","0","Yes","19","1","4","3","4","3","2","0","2","Yes","3"
"E1001208","28","Female","Medical","Divorced","Development","Developer","Travel_Rarely","9","3","3","77","3","1","3","5","No","18","2","6","2","3","2","2","2","2","No","3"
"E1001210","39","Male","Medical","Married","Development","Senior Developer","Travel_Rarely","6","3","4","70","3","1","1","7","Yes","21","4","8","2","1","2","2","2","2","Yes","3"
"E1001211","27","Female","Life Sciences","Single","Development","Developer","Travel_Rarely","4","3","2","76","3","1","3","1","No","19","3","1","2","3","1","1","0","0","No","3"
"E1001212","34","Male","Life Sciences","Divorced","Development","Developer","Travel_Rarely","10","3","2","83","3","1","2","1","No","14","2","1","3","3","1","0","1","0","No","3"
"E1001214","42","Female","Medical","Single","Sales","Sales Executive","Travel_Rarely","14","2","3","68","2","2","3","7","No","17","1","10","6","3","5","4","0","3","No","3"
"E1001217","33","Male","Other","Single","Development","Senior Developer","Travel_Rarely","1","4","3","100","2","1","1","3","Yes","11","2","6","1","3","3","2","0","2","No","3"
"E1001218","58","Female","Technical Degree","Divorced","Development","Senior Developer","Travel_Rarely","5","3","3","37","2","3","2","2","Yes","13","4","24","3","3","6","0","0","4","No","3"
"E1001219","31","Male","Life Sciences","Married","Sales","Sales Representative","Travel_Rarely","7","4","2","41","2","1","3","3","No","15","2","13","2","4","7","7","5","2","No","3"
"E1001220","35","Female","Life Sciences","Married","Development","Senior Developer","Travel_Rarely","21","1","4","51","3","2","4","1","Yes","25","4","10","2","1","10","6","0","7","No","3"
"E1001223","48","Male","Medical","Married","Data Science","Data Scientist","Travel_Rarely","20","4","4","51","3","1","3","4","No","17","1","13","2","2","0","0","0","0","No","3"
"E1001225","31","Female","Marketing","Married","Sales","Sales Executive","Non-Travel","20","2","4","45","3","2","3","1","No","13","4","9","2","2","9","8","0","0","No","3"
"E1001227","36","Male","Other","Single","Development","Developer","Travel_Rarely","7","4","2","65","3","1","4","2","No","18","3","8","6","3","6","2","0","1","No","3"
"E1001228","38","Female","Technical Degree","Married","Development","Senior Developer","Travel_Rarely","1","3","4","80","3","3","1","1","No","13","2","15","3","3","15","12","5","11","No","3"
"E1001229","32","Female","Life Sciences","Married","Development","Senior Developer","Non-Travel","1","3","3","70","2","1","2","6","No","20","3","5","3","3","3","0","0","2","No","4"
"E1001230","25","Male","Marketing","Married","Sales","Sales Representative","Travel_Rarely","19","2","3","36","2","1","2","1","Yes","18","3","1","2","3","1","0","0","0","Yes","3"
"E1001235","41","Male","Medical","Single","Development","Developer","Travel_Rarely","6","3","4","59","3","1","1","2","Yes","13","3","20","3","3","18","13","2","17","No","3"
"E1001236","36","Male","Medical","Single","Development","Developer","Travel_Rarely","2","4","3","79","3","1","3","4","No","21","3","16","6","3","11","8","3","9","No","4"
"E1001237","19","Male","Other","Single","Sales","Sales Representative","Travel_Rarely","21","3","4","37","2","1","2","1","Yes","13","2","1","3","4","1","0","0","0","Yes","3"
"E1001238","20","Male","Technical Degree","Single","Development","Developer","Travel_Rarely","4","3","1","84","3","1","1","1","No","19","2","1","2","3","1","0","0","0","Yes","3"
"E1001239","31","Female","Medical","Married","Development","Developer","Travel_Rarely","12","3","4","41","3","2","4","0","Yes","11","3","10","2","1","9","7","8","5","No","3"
"E1001245","36","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","3","1","3","51","2","3","4","1","Yes","11","1","16","6","3","16","7","3","7","Yes","3"
"E1001248","37","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","1","4","1","46","2","3","3","5","No","11","3","17","2","1","14","1","11","7","Yes","2"
"E1001250","45","Male","Life Sciences","Married","Development","Developer","Non-Travel","4","2","3","57","3","2","2","1","No","12","2","9","5","2","9","7","0","8","No","3"
"E1001252","29","Female","Technical Degree","Married","Sales","Sales Representative","Travel_Frequently","20","3","3","84","3","1","4","1","No","15","2","3","5","3","3","1","0","2","No","3"
"E1001253","35","Female","Medical","Married","Sales","Sales Executive","Travel_Rarely","18","3","3","86","3","2","3","1","No","16","2","5","3","3","5","2","1","0","No","3"
"E1001254","52","Male","Life Sciences","Married","Development","Senior Developer","Travel_Rarely","1","2","4","70","3","4","4","2","No","15","2","26","2","2","9","8","7","8","No","3"
"E1001259","53","Male","Medical","Divorced","Sales","Manager","Travel_Rarely","2","2","3","45","3","4","3","6","No","13","3","22","3","4","17","13","15","2","No","3"
"E1001260","30","Male","Other","Divorced","Sales","Sales Executive","Travel_Rarely","8","2","3","62","3","3","3","5","No","11","1","10","2","4","8","4","7","7","No","3"
"E1001262","35","Male","Life Sciences","Divorced","Sales","Sales Executive","Travel_Rarely","3","4","4","92","3","3","4","6","No","13","2","12","2","3","10","9","0","8","No","3"
"E1001263","39","Male","Life Sciences","Single","Sales","Sales Executive","Travel_Rarely","2","5","1","41","4","3","3","0","No","18","4","9","3","3","8","7","0","7","No","3"
"E1001264","40","Female","Life Sciences","Single","Sales","Sales Executive","Non-Travel","24","3","2","100","4","4","2","4","Yes","16","4","22","2","2","1","0","0","0","Yes","3"
"E1001265","47","Male","Medical","Divorced","Development","Senior Developer","Travel_Frequently","16","4","3","64","4","2","3","1","Yes","19","3","20","3","4","19","10","2","7","No","3"
"E1001268","36","Male","Technical Degree","Divorced","Sales","Sales Executive","Non-Travel","8","4","1","84","3","2","4","4","No","13","4","12","3","3","7","7","0","7","No","3"
"E1001269","31","Male","Medical","Single","Development","Developer","Non-Travel","9","2","3","46","2","1","1","0","Yes","22","1","4","0","3","3","2","1","2","Yes","4"
"E1001270","33","Male","Life Sciences","Single","Sales","Manager","Non-Travel","17","3","4","38","3","4","3","1","No","11","4","10","2","3","10","8","6","0","No","3"
"E1001272","29","Female","Life Sciences","Single","Development","Developer","Travel_Rarely","10","3","4","92","2","1","1","6","Yes","20","3","3","5","3","0","0","0","0","Yes","4"
"E1001273","33","Female","Life Sciences","Single","Development","Developer","Travel_Rarely","13","1","2","53","3","1","4","3","No","18","1","5","4","3","3","2","0","2","No","3"
"E1001274","45","Female","Medical","Divorced","Development","Developer","Travel_Rarely","1","4","4","91","3","1","4","3","No","14","4","8","2","3","5","3","0","2","No","3"
"E1001275","50","Male","Medical","Divorced","Development","Senior Developer","Travel_Rarely","1","2","4","66","3","4","4","9","No","22","3","32","1","2","5","4","1","3","No","4"
"E1001276","33","Female","Other","Married","Development","Developer","Travel_Frequently","1","4","3","84","4","2","2","1","Yes","13","1","6","2","3","6","5","1","2","No","3"
"E1001277","41","Male","Medical","Divorced","Development","Developer","Travel_Frequently","9","3","1","64","3","5","3","2","No","17","2","21","2","4","18","16","0","11","No","3"
"E1001280","45","Male","Life Sciences","Married","Development","Developer","Non-Travel","23","2","4","42","3","2","1","1","Yes","15","3","9","2","3","9","8","0","8","No","3"
"E1001281","47","Female","Life Sciences","Single","Sales","Sales Executive","Travel_Rarely","4","2","4","83","3","2","4","1","Yes","17","3","9","0","3","9","0","0","7","No","3"
"E1001282","30","Female","Life Sciences","Married","Development","Developer","Travel_Rarely","22","3","1","48","3","1","3","4","Yes","11","2","7","2","3","5","2","0","1","Yes","3"
"E1001283","50","Male","Life Sciences","Married","Development","Developer","Travel_Rarely","24","3","4","95","3","4","3","3","Yes","18","4","22","2","3","12","11","1","5","No","3"
"E1001284","38","Male","Medical","Married","Research & Development","Senior Manager R&D","Travel_Frequently","10","1","3","66","3","1","3","0","No","17","2","3","0","2","2","1","0","2","No","3"
"E1001288","35","Male","Other","Divorced","Research & Development","Laboratory Technician","Travel_Rarely","14","4","3","39","2","1","2","1","Yes","24","4","5","2","1","4","2","0","2","Yes","3"
"E1001289","31","Female","Life Sciences","Married","Research & Development","Manufacturing Director","Travel_Frequently","1","1","3","96","3","2","1","1","No","12","3","4","1","3","4","3","0","3","No","3"
"E1001290","18","Male","Life Sciences","Single","Research & Development","Research Scientist","Non-Travel","5","2","2","73","3","1","4","1","No","15","4","0","2","3","0","0","0","0","No","3"
"E1001291","54","Female","Technical Degree","Married","Research & Development","Senior Manager R&D","Travel_Rarely","17","3","3","56","3","3","3","8","No","11","3","22","2","3","10","7","0","8","No","3"
"E1001292","35","Female","Medical","Divorced","Research & Development","Healthcare Representative","Travel_Rarely","25","4","3","57","3","3","3","1","Yes","11","3","16","3","2","16","10","10","1","No","3"
"E1001293","30","Female","Life Sciences","Married","Research & Development","Research Director","Travel_Rarely","8","2","2","73","4","3","1","0","Yes","12","3","9","4","2","8","7","1","7","No","2"
"E1001296","26","Male","Medical","Married","Research & Development","Senior Manager R&D","Travel_Rarely","2","2","4","32","4","2","4","1","No","12","2","8","2","3","8","7","1","3","No","3"
"E1001297","22","Male","Life Sciences","Married","Research & Development","Laboratory Technician","Travel_Rarely","8","1","2","94","1","1","1","1","No","15","1","4","3","2","4","3","1","1","No","2"
"E1001300","48","Male","Life Sciences","Single","Research & Development","Healthcare Representative","Travel_Rarely","6","3","1","97","2","2","3","2","No","13","4","19","0","3","2","2","2","2","No","2"
"E1001302","48","Male","Life Sciences","Single","Research & Development","Senior Manager R&D","Travel_Rarely","4","4","3","78","2","3","3","7","No","14","2","27","3","3","15","11","4","8","No","3"
